ProblemID,difficulty,outcome,rank,start,end,avg_attn,freq_top5,n_events,path
13,low,correct,1,==,speed,0.8617239892482758,2,66,==@BinaryOperation@IfStatement@BlockStatement@IfStatement@BinaryOperation@Mem...
13,low,correct,2,int,speed,0.6151134610176087,5,66,int@BasicType@FormalParameter@MethodDeclaration@IfStatement@BinaryOperation@M...
13,low,correct,3,==,speed,0.5683189630508423,2,66,==@BinaryOperation@IfStatement@BlockStatement@StatementExpression@Assignment@...
13,low,correct,4,66,speed,0.529156044125557,2,66,66@Literal@BinaryOperation@BinaryOperation@BinaryOperation@MemberReference@speed
13,low,correct,5,>,speed,0.5181812569499016,8,66,>@BinaryOperation@MemberReference@speed
13,low,incorrect,1,==,speed,0.6040757894515991,1,293,==@BinaryOperation@IfStatement@BlockStatement@StatementExpression@Assignment@...
13,low,incorrect,2,!,speed,0.5433878302574158,1,293,<PAD/UNK>
13,low,incorrect,3,int,speed,0.5224111786014155,19,293,int@BasicType@FormalParameter@MethodDeclaration@IfStatement@BinaryOperation@M...
13,low,incorrect,4,int,speed,0.49793340762456256,6,293,<PAD/UNK>
13,low,incorrect,5,int,"""7:00""",0.48272547125816345,1,293,<PAD/UNK>
236,mid,correct,1,==,0,0.8269076198339462,8,71,==@BinaryOperation@BinaryOperation@IfStatement@BlockStatement@ReturnStatement...
236,mid,correct,2,==,!=,0.8015685677528381,1,71,<PAD/UNK>
236,mid,correct,3,c,10,0.7827756404876709,1,71,c@MemberReference@BinaryOperation@IfStatement@ReturnStatement@Literal@10
236,mid,correct,4,==,&&,0.7482741475105286,1,71,<PAD/UNK>
236,mid,correct,5,60,true,0.6565715670585632,1,71,60@Literal@BinaryOperation@IfStatement@BlockStatement@ReturnStatement@Literal...
236,mid,incorrect,1,==,>=,0.7870808243751526,1,128,==@BinaryOperation@IfStatement@BlockStatement@IfStatement@BinaryOperation@>=
236,mid,incorrect,2,==,true,0.7596928775310516,2,128,==@BinaryOperation@Literal@true
236,mid,incorrect,3,==,&&,0.7482741475105286,1,128,<PAD/UNK>
236,mid,incorrect,4,==,0,0.7433215054598722,11,128,==@BinaryOperation@BinaryOperation@IfStatement@BlockStatement@ReturnStatement...
236,mid,incorrect,5,c,!=,0.6730294227600098,1,128,<PAD/UNK>
12,high,correct,1,<,+,0.8943579196929932,1,73,<@BinaryOperation@BinaryOperation@+
12,high,correct,2,isSummer,>=,0.829508364200592,1,73,isSummer@MemberReference@IfStatement@BlockStatement@ReturnStatement@BinaryOpe...
12,high,correct,3,==,true,0.7861711382865906,1,73,==@BinaryOperation@Literal@true
12,high,correct,4,outsideMode,>=,0.7859819531440735,1,73,outsideMode@MemberReference@IfStatement@ReturnStatement@BinaryOperation@Binar...
12,high,correct,5,+=,true,0.7081394791603088,1,73,<PAD/UNK>
12,high,incorrect,1,==,true,0.9176363945007324,1,55,==@BinaryOperation@Literal@true
12,high,incorrect,2,outsideMode,>=,0.7859819531440735,1,55,outsideMode@MemberReference@IfStatement@ReturnStatement@BinaryOperation@Binar...
12,high,incorrect,3,==,>=,0.7841959595680237,2,55,==@BinaryOperation@IfStatement@IfStatement@BinaryOperation@BinaryOperation@>=
12,high,incorrect,4,isSummer,true,0.7783572673797607,1,55,isSummer@MemberReference@IfStatement@BlockStatement@IfStatement@ReturnStateme...
12,high,incorrect,5,outsideMode,true,0.7652349174022675,2,55,outsideMode@MemberReference@BinaryOperation@IfStatement@BlockStatement@Return...
