cid,concept,aid,problem,start,end,avg_attn,freq,n_err_events,path
aritmetica_condicional,Aritmética em condicionais,494,41,int,+,0.8466,10,51,int@BasicType@FormalParameter@MethodDeclaration@ReturnStatement@BinaryOperati...
aritmetica_condicional,Aritmética em condicionais,439,1,int,sum,0.8354,7,82,int@BasicType@FieldDeclaration@VariableDeclarator@sum
aritmetica_condicional,Aritmética em condicionais,439,1,b,==,0.5684,13,82,b@FormalParameter@MethodDeclaration@IfStatement@BinaryOperation@BinaryOperati...
aritmetica_condicional,Aritmética em condicionais,439,1,int,sum,0.5619,6,82,int@BasicType@FormalParameter@MethodDeclaration@LocalVariableDeclaration@Vari...
aritmetica_condicional,Aritmética em condicionais,439,233,int,sum,0.5413,9,250,int@BasicType@FormalParameter@MethodDeclaration@LocalVariableDeclaration@Vari...
aritmetica_condicional,Aritmética em condicionais,494,41,int,<=,0.5096,7,51,int@BasicType@LocalVariableDeclaration@MethodDeclaration@ForStatement@ForCont...
aritmetica_condicional,Aritmética em condicionais,439,233,b,==,0.4297,61,250,b@FormalParameter@MethodDeclaration@IfStatement@BinaryOperation@BinaryOperati...
aritmetica_condicional,Aritmética em condicionais,439,233,boolean,boolean,0.325,84,250,boolean@BasicType@FormalParameter@MethodDeclaration@FormalParameter@BasicType...
aritmetica_condicional,Aritmética em condicionais,439,233,int,true,0.3164,17,250,int@BasicType@FormalParameter@MethodDeclaration@IfStatement@ReturnStatement@L...
aritmetica_condicional,Aritmética em condicionais,439,233,boolean,<PAD/UNK>,0.308,18,250,<PAD/UNK>
aritmetica_condicional,Aritmética em condicionais,439,233,int,=,0.2866,10,250,int@BasicType@FormalParameter@MethodDeclaration@IfStatement@Assignment@=
aritmetica_condicional,Aritmética em condicionais,439,233,int,6,0.2589,7,250,int@BasicType@FormalParameter@MethodDeclaration@IfStatement@BinaryOperation@L...
aritmetica_condicional,Aritmética em condicionais,439,233,int,=,0.2388,6,250,int@BasicType@FormalParameter@MethodDeclaration@IfStatement@Assignment@Assign...
aritmetica_condicional,Aritmética em condicionais,439,233,int,-,0.2381,9,250,int@BasicType@LocalVariableDeclaration@MethodDeclaration@LocalVariableDeclara...
aritmetica_condicional,Aritmética em condicionais,439,1,b,=,0.2353,5,82,b@MemberReference@BinaryOperation@Assignment@=
aritmetica_condicional,Aritmética em condicionais,439,233,b,6,0.2275,7,250,b@MemberReference@BinaryOperation@MethodInvocation@BinaryOperation@Literal@6
aritmetica_condicional,Aritmética em condicionais,439,233,b,6,0.1954,9,250,b@MemberReference@BinaryOperation@BinaryOperation@BinaryOperation@BinaryOpera...
aritmetica_condicional,Aritmética em condicionais,439,233,int,||,0.1709,62,250,int@BasicType@FormalParameter@MethodDeclaration@IfStatement@BinaryOperation@||
aritmetica_condicional,Aritmética em condicionais,439,233,int,||,0.1503,10,250,int@BasicType@FormalParameter@MethodDeclaration@IfStatement@IfStatement@Binar...
aritmetica_condicional,Aritmética em condicionais,439,233,boolean,boolean,0.1472,34,250,boolean@BasicType@MethodDeclaration@FormalParameter@BasicType@boolean
aritmetica_condicional,Aritmética em condicionais,439,1,int,||,0.1435,12,82,int@BasicType@FormalParameter@MethodDeclaration@IfStatement@BinaryOperation@||
aritmetica_condicional,Aritmética em condicionais,439,1,private,sum,0.139,7,82,private@Modifier@FieldDeclaration@VariableDeclarator@sum
aritmetica_condicional,Aritmética em condicionais,439,1,int,==,0.1206,5,82,int@BasicType@LocalVariableDeclaration@MethodDeclaration@IfStatement@BinaryOp...
aritmetica_condicional,Aritmética em condicionais,439,233,==,-,0.1199,13,250,==@BinaryOperation@MethodInvocation@BinaryOperation@-
aritmetica_condicional,Aritmética em condicionais,439,233,int,==,0.1198,36,250,int@BasicType@LocalVariableDeclaration@MethodDeclaration@IfStatement@BinaryOp...
aritmetica_condicional,Aritmética em condicionais,439,233,b,6,0.1192,19,250,b@MemberReference@BinaryOperation@Literal@6
aritmetica_condicional,Aritmética em condicionais,439,233,b,=,0.1189,17,250,b@MemberReference@BinaryOperation@Assignment@=
aritmetica_condicional,Aritmética em condicionais,439,1,b,+,0.1181,6,82,b@MemberReference@BinaryOperation@BinaryOperation@BinaryOperation@BinaryOpera...
aritmetica_condicional,Aritmética em condicionais,439,233,b,6,0.1178,14,250,b@MemberReference@BinaryOperation@Assignment@Literal@6
aritmetica_condicional,Aritmética em condicionais,439,233,int,==,0.1167,88,250,int@BasicType@FormalParameter@MethodDeclaration@IfStatement@BinaryOperation@B...
aritmetica_condicional,Aritmética em condicionais,439,233,int,d,0.111,7,250,int@BasicType@LocalVariableDeclaration@MethodDeclaration@LocalVariableDeclara...
aritmetica_condicional,Aritmética em condicionais,439,233,int,=,0.1076,12,250,int@BasicType@FormalParameter@MethodDeclaration@IfStatement@IfStatement@Assig...
aritmetica_condicional,Aritmética em condicionais,439,1,int,>=,0.1058,13,82,int@BasicType@FormalParameter@MethodDeclaration@IfStatement@BinaryOperation@B...
aritmetica_condicional,Aritmética em condicionais,439,233,public,boolean,0.1052,19,250,<PAD/UNK>
aritmetica_condicional,Aritmética em condicionais,439,233,int,-,0.1032,7,250,int@BasicType@FormalParameter@MethodDeclaration@LocalVariableDeclaration@Vari...
aritmetica_condicional,Aritmética em condicionais,439,1,int,==,0.1005,6,82,int@BasicType@FormalParameter@MethodDeclaration@IfStatement@BinaryOperation@B...
